,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
126,"Combatchy (feat. MC Rebecca)",Anitta,778060,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
127,"Christmas Lights",Coldplay,775994,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
128,"Nice To Meet Ya","Niall Horan",773290,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
129,Sucker,"Jonas Brothers",772143,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
130,"I'll Be Home","Meghan Trainor",771270,https://open.spotify.com/track/0lTurWECr2XL607eJAj1A3
131,"Con Altura",ROSALÍA,769404,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
132,"Ballin' (with Roddy Ricch)",Mustard,762081,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
133,"Show Yourself","Idina Menzel",758688,https://open.spotify.com/track/50WeOnXhM1H7AZEeIDoWfZ
134,"Que Calor (with J Balvin & El Alfa)","Major Lazer",754468,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
135,Wow.,"Post Malone",754466,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
136,"QUE PRETENDES","J Balvin",753625,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
137,"thank u, next","Ariana Grande",752354,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
138,"Say You Won't Let Go","James Arthur",750396,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
139,Hallelujah,Pentatonix,744913,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
140,"SICKO MODE","Travis Scott",734907,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
141,"Into the Unknown - Panic! At The Disco Version","Panic! At The Disco",734705,https://open.spotify.com/track/421eObjg0DTm2qajJl5OJm
142,"Ne reviens pas",Gradur,732081,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
143,"Lucid Dreams","Juice WRLD",729784,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
144,"Run Rudolph Run - Single Version","Chuck Berry",729245,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
145,"6 Kiss","Trippie Redd",721441,https://open.spotify.com/track/7tgjDlQsMR8RvkdlNCJA58
146,"Girls Like You (feat. Cardi B)","Maroon 5",721054,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
147,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",720403,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
148,"Get You The Moon (feat. Snøw)",Kina,719629,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
149,"Like It's Christmas","Jonas Brothers",718786,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv
150,Perfect,"Ed Sheeran",717557,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
151,Bruises,"Lewis Capaldi",715086,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
152,"The London (feat. J. Cole & Travis Scott)","Young Thug",715063,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
153,VIBEZ,DaBaby,714804,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
154,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,713628,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw
155,VALENTINO,24kGoldn,711050,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
156,"Bellaquita - Remix",Dalex,709186,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
157,"Higher Love",Kygo,707614,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
158,"Takeaway (feat. Lennon Stella)","The Chainsmokers",706468,https://open.spotify.com/track/63VyEdzMM3w4ZQ1WtARa2S
159,"11 PM",Maluma,705714,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
160,"Santa Baby","Ariana Grande",704442,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb
161,"Winter Wonderland","Tony Bennett",703392,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ
162,Orphans,Coldplay,702091,https://open.spotify.com/track/03T4ttRCiLXST6MZjeMwmR
163,"If I Can't Have You","Shawn Mendes",697461,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
164,I.F.L.Y.,Bazzi,693690,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
165,"Santa's Coming for Us",Sia,692004,https://open.spotify.com/track/3AlpkljBS1AU7HFVPms8K6
166,"Only Human","Jonas Brothers",691457,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
167,"Eastside (with Halsey & Khalid)","benny blanco",688423,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
168,"No Idea","Don Toliver",687553,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
169,"bury a friend","Billie Eilish",686049,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
170,"Sweet but Psycho","Ava Max",683838,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
171,"Santa Baby","Kylie Minogue",682104,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
172,Moonlight,XXXTENTACION,680337,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
173,"Tip Toe (feat. A Boogie Wit da Hoodie)","Roddy Ricch",678493,https://open.spotify.com/track/5j1yOqWONR9T6l43AzJ6Es
174,"Pa' Olvidarme De Ella","Piso 21",675371,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
175,goosebumps,"Travis Scott",670110,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
176,SAD!,XXXTENTACION,670039,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
177,"Used To Love (with Dean Lewis)","Martin Garrix",666970,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
178,"Santa Claus Is Coming To Town","The Jackson 5",666957,https://open.spotify.com/track/4rMWDm28mERZcRPc1f3yir
179,"Dancing With A Stranger (with Normani)","Sam Smith",666033,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
180,"Be Alright","Dean Lewis",663847,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
181,"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt",663345,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
182,Blanco,"J Balvin",662610,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
183,Roller,"Apache 207",662200,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
184,"Talk (feat. Disclosure)",Khalid,657431,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
185,"Thank God It's Christmas - Non-Album Single",Queen,654241,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
